Generations,Fitness,Evaluations
2,68.97557077424779,278
2,80.09876606631587,278
2,59.050377478447935,278
2,51.95907468423854,278
2,57.53625154068936,278
2,67.85945476072355,278
2,74.74519959766403,278
2,79.00444352586118,278
2,72.63576061411925,278
2,77.88349271700635,278
2,73.12140519313508,278
2,87.99429222843472,278
2,95.76178883845141,278
2,62.3447252286651,278
2,70.72308082964273,278
2,74.78482916476877,278
2,73.19297004174588,278
2,82.31640636726219,278
2,64.07845981522118,278
2,55.26881684170252,278
2,33.03696523693169,278
2,86.22314008400713,278
2,71.99601998885572,278
2,71.75136490468327,278
2,105.03564117692716,278
2,42.36674402278389,278
2,63.6587447891654,278
2,69.91060229747097,278
3,54.932232470386545,372
3,58.667060388603495,372
3,49.5365219822859,372
3,83.21342962074577,372
3,67.29851194094735,372
3,69.01494489117731,372
3,59.68260029694604,372
3,63.24280606753645,372
3,54.214471966712914,372
3,33.03696523693169,372
3,61.777617390703895,372
3,79.2922836429347,372
3,64.37977537559486,372
3,36.51664462206038,372
3,55.61961491935361,372
3,59.49716935709621,372
3,49.816573577443386,372
3,60.664957772077486,372
3,48.814686523886934,372
3,71.71060434312038,372
3,48.46869399521833,372
3,70.6842226742467,372
3,63.40196193950411,372
3,61.17355883242871,372
3,52.272897191345486,372
3,78.20345442898919,372
3,73.54436412800372,372
3,44.98662573914947,372
3,56.956640606810055,372
3,81.09811715572167,372
3,62.56903859408339,372
3,69.77818254980588,372
3,34.29794505151252,372
3,54.00783702712169,372
3,49.07597857398283,372
3,67.51065044515448,372
3,36.84235850303344,372
3,69.4169202036061,372
3,82.46094928109467,372
3,53.5667797003838,372
3,50.173753327743796,372
3,41.388342421634704,372
3,54.26357200292235,372
3,69.20956113071907,372
3,69.28409308406388,372
3,66.86120193370887,372
3,47.965986585665256,372
3,62.26021219784219,372
3,41.53075503249575,372
3,58.61390760522718,372
3,58.81541605759449,372
3,34.365960695318705,372
3,75.36491184037233,372
3,60.46491287953211,372
3,45.51854211122208,372
3,83.400937751729,372
3,51.736995557277474,372
3,77.38298673295185,372
3,55.77747630649969,372
3,55.53303683459076,372
3,82.42930245314282,372
3,48.505225675325406,372
3,35.08741435112904,372
3,64.46132335907738,372
3,73.4497583716863,372
3,41.9245199048741,372
3,46.6781964234741,372
3,52.29081712648133,372
3,60.47725766378842,372
3,71.09558536040147,372
3,47.88133623430542,372
3,61.983403558440976,372
3,45.48673975227318,372
3,58.20835059761759,372
3,68.24069968203999,372
3,40.879483888268325,372
3,86.78224962366572,372
3,33.767005134711816,372
3,55.18989306837244,372
3,60.03135464131677,372
3,76.95346570669251,372
3,49.742995332571404,372
3,73.68869510842103,372
