Generations,Variaveis de Decisão,Evaluations,Best Fitness,Media,Desvio Padrao
52,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, 0.027059979118792654, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, -0.010954677654355455, -0.010592179329568296]",4822,"(3.0901822307379003,)",3.577388140216306,3.385851788137374
53,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, 0.027059979118792654, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, -0.010954677654355455, -0.010592179329568296]",4912,"(3.0901822307379003,)",3.4704843913046535,2.6395670295452582
54,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, 0.027059979118792654, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, -0.010954677654355455, -0.010592179329568296]",5006,"(3.0901822307379003,)",3.5488947579408063,3.7978823655912524
55,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, 0.027059979118792654, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, -0.010954677654355455, -0.010592179329568296]",5094,"(3.0901822307379003,)",3.6976398715713104,3.495650611024932
56,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, 0.027059979118792654, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, -0.010954677654355455, -0.010592179329568296]",5182,"(3.0901822307379003,)",3.7063376805714774,3.1465398834836193
57,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, 0.027059979118792654, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, -0.010954677654355455, -0.010592179329568296]",5268,"(3.0901822307379003,)",4.021933668450989,5.725350696412093
58,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, 0.027059979118792654, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, -0.010954677654355455, -0.010592179329568296]",5356,"(3.0901822307379003,)",3.2445230781635117,1.0885476999119792
59,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, 0.027059979118792654, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, -0.010954677654355455, -0.010592179329568296]",5442,"(3.0901822307379003,)",3.412484258976631,2.365366368188254
60,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",5528,"(2.910940681518033,)",3.288499239234582,1.511373001706933
61,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",5620,"(2.910940681518033,)",3.922781754899566,4.766522773848181
62,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",5710,"(2.910940681518033,)",3.8735639494737977,5.117433988733542
