Generations,Best Solution,Evaluations,Best Fitness,Media,Desvio Padrao
30,"[0.9744875958661318, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.9259765553208381, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, -0.029632841892530237, 1.0090543713647369]",11864,"(5.587093195992299,)",5.804880072176145,1.8331412815304762
31,"[0.9744875958661318, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.9259765553208381, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, -0.029632841892530237, 1.0090543713647369]",11956,"(5.587093195992299,)",6.144859318851395,3.9026272064892717
32,"[0.9744875958661318, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.9259765553208381, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, -0.029632841892530237, 1.0090543713647369]",12050,"(5.587093195992299,)",5.946776015606259,3.57879886858977
33,"[0.9744875958661318, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.9259765553208381, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, -0.029632841892530237, 1.0090543713647369]",12143,"(5.587093195992299,)",6.229103485521068,6.242254707500666
34,"[0.9744875958661318, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.9259765553208381, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, -0.029632841892530237, 1.0090543713647369]",12239,"(5.587093195992299,)",5.785994215626072,1.979040157633005
35,"[0.9744875958661318, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.9259765553208381, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, -0.029632841892530237, 1.0090543713647369]",12322,"(5.587093195992299,)",5.84897206675546,2.125391522525591
36,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.9259765553208381, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, -0.029632841892530237, 1.0090543713647369]",12412,"(4.529259516955339,)",5.719538141858732,1.9717673483430018
37,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.9259765553208381, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, -0.029632841892530237, 1.0090543713647369]",12508,"(4.529259516955339,)",5.634878550858341,1.9737104635860505
38,"[0.9744875958661318, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, -0.029632841892530237, 1.0090543713647369]",12602,"(3.7983719768639013,)",5.692340015077368,3.6907997894679063
39,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, -0.029632841892530237, 1.0090543713647369]",12690,"(2.740538297826941,)",4.30390169109863,1.053736482718242
40,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, -0.029632841892530237, 1.0090543713647369]",12783,"(2.740538297826941,)",3.843734991672768,2.2354272907477033
41,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, -0.029632841892530237, 1.0090543713647369]",12879,"(2.740538297826941,)",3.7638059609957493,4.429512705894446
42,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, -0.029632841892530237, 1.0090543713647369]",12971,"(2.740538297826941,)",3.0035303658101857,2.0068667386530765
43,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, -0.029632841892530237, 1.0090543713647369]",13061,"(2.740538297826941,)",3.5934700719130506,3.66901352933164
44,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, -0.029632841892530237, 1.0090543713647369]",13152,"(2.740538297826941,)",3.3435912995875245,3.495711794468018
